Name,Link,Unit Price,Quantity,Total ,Running,Notes
MGN9H LInear Rails,https://novo3d.in/mgn9h-linear-rail/?attribute_length=30cm,10.43,3,31.29,31.29,
MGN9H Blocks,https://novo3d.in/linear-guide-rail/?attribute_type=MGN9H,5.73,3,17.19,48.48,
Aluminium 3 way connector,https://novo3d.in/3-way-corner-connector/?attribute_type=2020,1.03,3,3.09,51.57,
GT2 Timing belt,https://novo3d.in/gt2-timing-belt/,0.65,1,0.65,52.22,Unit Price - 1 meter
2020 Aluminium Profile,https://novo3d.in/aluminium-profiles-2020/,6.2,1.86,11.532,63.752,Unit Price - 1 meter
NEMA 17,https://novo3d.in/42-stepper-motor/,6.05,2,12.1,75.852,
TMC2209,https://novo3d.in/mks-tmc2209/,4.54,2,9.08,84.932,
MG90 servo,N/A,0,0,0,84.932,Already have
GT2 pulley,https://novo3d.in/gt2-pulley-16t-5mm-bore/,0.62,10,6.2,91.132,
Filament,,0,0,0,91.132,Already have
T nuts,https://novo3d.in/spring-t-nut/?attribute_size=M5,0.094,20,1.88,93.012,
M5 Bolts,https://robokits.co.in/robot-parts/nut-bolts-standoffs/allen-cap-socket-head-bolts/m5-x-8mm-socket-head-cap-stainless-steel-304-bolt-moq-15pcs,2.19,1,2.19,95.202,pack of 15
PCB ,please view seperate PCB bom for details,,,92,187.202,
