"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C6, C21, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33";"C_0402_1005Metric";13;"100 n";;;
2;"C2, C3, C4";"CP_Radial_D4.0mm_P1.50mm";3;"100 uF";;;
3;"C5, C17, C18, C19";"C_0402_1005Metric";4;"4.7 u";;;
4;"C7";"C_0402_1005Metric";1;"10 uF";;;
5;"C16, C20";"C_0402_1005Metric";2;"10 u";;;
6;"C22, C23";"C_0402_1005Metric";2;"15 p";;;
7;"D3, D4, D5";"LED_D3.0mm";3;"LED";;;
8;"J1, J2";"PhoenixContact_MSTBA_2,5_6-G_1x06_P5.00mm_Horizontal";2;"Screw_Terminal_01x06";;;
9;"J3";"BarrelJack_CUI_PJ-063AH_Horizontal";1;"Barrel_Jack_MountingPin";;;
10;"J4";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_Socket";;;
11;"J5";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
12;"J6, J7";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02_Pin";;;
13;"J8";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
14;"J9";"USB_C_Receptacle_XKB_U262-16XN-4BVC11";1;"USB_C_Receptacle_USB2.0_14P";;;
15;"J10";"PinSocket_1x20_P2.54mm_Vertical";1;"Conn_01x20_Pin";;;
16;"J12, J13, J14, J15, J16, J17";"PinSocket_1x02_P2.54mm_Vertical";6;"Conn_01x02_Pin";;;
17;"L1";"L_0805_2012Metric";1;"3.3 u";;;
18;"R3, R5, R13";"R_0402_1005Metric";3;"1k";;;
19;"R4";"R_0201_0603Metric";1;"33";;;
20;"R8, R9";"R_0603_1608Metric";2;"5.1k";;;
21;"R10";"R_0805_2012Metric";1;"0";;;
22;"R14";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"1.2k";;;
23;"R15";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"500";;;
24;"R16";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"330";;;
25;"R18";"R_0402_1005Metric";1;"33R";;;
26;"R19, R20";"R_0201_0603Metric";2;"27";;;
27;"SW1, SW2";"SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS";2;"SW_Push";;;
28;"U1, U2";"MODULE_TMC2209_SILENTSTEPSTICK";2;"TMC2209_SILENTSTEPSTICK";;;
29;"U3";"QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm";1;"RP2350B";;;
30;"U4";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
31;"U5";"SOIC-8_5.3x5.3mm_P1.27mm";1;"W25Q128JVS";;;
32;"U6";"SOT-23-6";1;"USBLC6-2SC6";;;
33;"Y1";"Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm";1;"Crystal_GND24";;;
