Designator,Mid X,Mid Y,Rotation,Layer
C1,131.5,-94.6,270.0,top
C16,162.0,-78.5,0.0,top
C17,137.7,-90.42,270.0,top
C18,138.8,-89.98,270.0,top
C19,143.05,-91.7,90.0,top
C2,102.4,-75.2,90.0,top
C20,151.0,-78.52,90.0,top
C21,148.93,-86.4,0.0,top
C22,120.0,-90.4,0.0,top
C23,118.08,-84.6,0.0,top
C24,123.12,-85.4,180.0,top
C25,123.58,-83.3,180.0,top
C26,134.1,-79.7,90.0,top
C27,138.18,-84.3,0.0,top
C28,126.0,-94.48,270.0,top
C29,138.0,-87.9,0.0,top
C3,100.65,-92.1,90.0,top
C30,127.4,-94.5,270.0,top
C31,129.2,-79.7,90.0,top
C32,134.4,-94.58,270.0,top
C33,135.65,-94.53,270.0,top
C4,159.05,-109.4,180.0,top
C5,123.1,-88.8,180.0,top
C6,131.7,-79.7,90.0,top
C7,163.8,-82.5,180.0,top
D3,154.0,-115.2,90.0,top
D4,154.3,-74.2,180.0,top
D5,170.83,-80.7,0.0,top
H1,169.65,-62.05,0.0,top
H2,159.25,-100.55,0.0,top
H3,77.3,-115.65,0.0,top
J1,97.5,-109.0,0.0,top
J10,143.27,-56.0,270.0,top
J12,77.87,-57.7,0.0,top
J13,82.46,-57.7,0.0,top
J14,87.05,-57.7,0.0,top
J15,91.64,-57.7,0.0,top
J16,96.23,-57.7,0.0,top
J17,100.82,-57.7,0.0,top
J2,133.1,-109.0,0.0,top
J3,168.4,-113.5,90.0,top
J4,171.75,-101.15,180.0,top
J5,160.9,-62.6,0.0,top
J6,156.6,-61.395,0.0,top
J7,152.4,-61.395,0.0,top
J8,110.02,-56.43,90.0,top
J9,170.9,-89.1,90.0,top
L1,140.45,-90.9625,270.0,top
R10,146.2125,-75.1,0.0,top
R13,123.0,-87.5,0.0,top
R14,159.4,-115.445,270.0,top
R15,159.4,-74.455,90.0,top
R16,165.345,-80.8,0.0,top
R17,156.61,-89.3,180.0,top
R18,156.59,-88.25,180.0,top
R19,142.0,-89.2,0.0,top
R20,142.0,-88.2,0.0,top
R3,125.21,-101.2,0.0,top
R4,138.88,-91.55,0.0,top
R5,138.2,-83.0,0.0,top
R8,164.15,-91.15,180.0,top
R9,164.55,-86.2,180.0,top
SW1,121.9,-97.225,90.0,top
SW2,139.4,-74.2,270.0,top
U1,86.76,-87.62,90.0,top
U2,86.65,-69.85,90.0,top
U3,131.395,-87.105,0.0,top
U4,156.3,-80.9,0.0,top
U5,145.3,-81.6,180.0,top
U6,161.4,-88.6,0.0,top
Y1,119.5,-87.5,270.0,top
